sentiment, emotion comfort, emotion familiarity, emotion dynamism, emotion discomfort, body comfort, body familiarity, body dynamism, body discomfort, environment comfort, environment familiarity, environment dynamism, environment discomfort, intention comfort, intention familiarity, intention dynamism, intention discomfort, other comfort, other familiarity, other dynamism, other discomfort, social comfort, social familiarity, social dynamism, social discomfort, focus on emotion, focus on body, focus on environment, focus on intention, focus on other, focus on social place
empty,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1
sadness,1,2,3,4,2,1,2,0,2,2,2,4,2,2,2,0,2,2,2,0,2,2,2,3,1,1,1,0,0,1
enthusiasm,4,3,4,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neutral,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,0,0,0,1,0,0
worry,1,2,3,4,2,1,3,4,2,2,2,3,4,2,3,1,2,2,2,3,2,2,2,3,1,1,1,1,1,1
surprise,2,2,4,2,2,2,4,3,1,2,3,3,2,2,3,2,2,2,3,1,2,2,2,1,1,1,1,1,1,0
love,4,2,2,0,4,4,2,2,3,2,2,2,4,2,2,0,4,4,2,0,4,3,2,0,1,0,0,0,1,0
fun,4,2,4,1,3,3,3,2,3,2,2,2,2,2,4,2,2,2,2,1,2,2,2,1,1,0,1,1,0,0
hate,0,2,4,4,2,2,2,1,2,2,2,1,2,2,2,4,2,2,2,4,2,2,2,2,1,0,0,1,1,0
happiness,4,4,2,0,2,2,2,2,2,2,2,1,2,2,2,1,3,2,2,1,4,2,2,1,1,0,0,0,0,1
boredom,2,4,2,3,2,2,1,3,2,4,1,1,2,4,1,2,1,4,0,2,2,4,1,1,1,0,1,0,0,0
relief,3,1,4,2,2,2,2,1,4,2,3,1,3,2,1,0,0,3,4,2,3,2,2,1,1,1,1,0,1,1
anger,0,2,4,4,2,2,4,1,2,2,2,1,1,2,2,3,1,2,2,3,1,2,3,4,1,1,0,0,1,0
